q_0003_019_1	घूमने	1149_027
q_0279_064_1	गुजरात	4005_027
q_0281_087_1	चाव	1759_009
q_0281_087_2	नरम	0288_072
q_0281_087_3	फलियों	5932_097
q_0283_016_1	दानों	3115_078
q_0287_046_1	बैठना	4935_030
q_0289_077_1	ठण्ड	0311_018
q_0292_024_1	उठती	0572_032
q_0295_033_1	शिमला	0314_005
q_0305_036_1	मिलता	4310_080
q_0307_019_1	दावत	4462_034
q_0309_006_1	चाय	1707_080	1710_005	1740_034	1741_060
q_0310_013_1	गुड़	0324_087
q_0316_076_1	जैसलमेर	0317_038
q_0316_076_2	पड़ती	0491_093
q_0316_076_3	रेत	2617_042	6032_008
q_0318_064_1	ऊँट	2511_064
q_0318_064_2	करूँगी	3599_092
q_0320_072_1	संक्रांति	0323_026
q_0324_087_1	बनती	4659_051
q_0336_097_1	पड़	1410_032
q_0340_087_1	तोरण	2674_027
q_0344_002_1	शान्त	1334_070
q_0345_001_1	शरत	0378_027
q_0349_046_1	नारियल	2806_015
q_0351_064_1	ओणम	0352_019
q_0356_006_1	विख्यात	2658_028
q_0360_003_1	दशहरा	0362_034
q_0364_034_1	बजाना	0366_035
q_0364_034_2	मृदंगम	0365_016
q_0366_035_1	बाँसुरी	3519_092
q_0366_035_2	सीखना	0367_009
q_0367_009_1	चलाना	0372_009
q_0367_009_2	स्कूटर	1593_019
q_0379_046_1	शीत	3179_006
q_0379_046_2	हेमंत	0380_006
q_0384_038_1	शीघ्र	5039_051
q_0386_033_1	भीगी	4810_076
q_0386_033_2	महक	0764_072
q_0387_092_1	गर्मियों	2784_043
q_0387_092_2	बूँदों	0598_073
q_0389_016_1	तरहतरह	2263_009
q_0389_016_2	नमूने	0865_066
q_0393_069_1	गाना	1738_027
q_0394_089_1	मौसी	5563_013
q_0394_089_2	सिखाए	3698_002
q_0395_077_1	गीतों	1314_098
q_0399_080_1	राग	5519_015
q_0409_005_1	लालच	5250_027
q_0414_080_1	भेजा	2160_061
q_0415_092_1	धानी	0416_016
q_0418_048_1	प्रतीक्षा	2032_076
q_0423_070_1	जायेगा	0728_043
q_0427_006_1	जलाकर	3598_092
q_0432_078_1	मरा	1102_028
q_0438_002_1	प्	0455_080
q_0439_034_1	यारे	0456_016
q_0440_036_1	पिछली	2485_030
q_0443_038_1	दरवाज़े	1957_076
q_0450_035_1	खरगोशों	0461_006
q_0450_035_2	लगाता	2453_094
q_0464_060_1	चीखा	0477_047
q_0465_063_1	जातेजाते	2471_072
q_0471_057_1	बनाओ	3139_009
q_0477_047_1	फेंको	0658_078
q_0482_016_1	सोचता	0484_080	0508_014	1857_038
q_0485_019_1	डूबे	0849_065
q_0490_030_1	सोया	2957_036
q_0491_093_1	बूँदें	2614_018
q_0495_016_1	करतीं	5123_009
q_0500_032_1	बाधा	1782_024
q_0511_064_1	गुट	0831_037
q_0528_070_1	सीखा	0529_038
q_0533_060_1	बूढ़ी	0537_045
q_0540_016_1	पासा	0543_078
q_0540_016_2	बड़ासा	0543_078
q_0565_080_1	बटन	2358_073
q_0566_009_1	सौरभ	3478_024
q_0572_032_1	छूने	1373_009
q_0579_027_1	जानें	2379_077
q_0586_019_1	इलेक्ट्रॉन	0591_047
q_0601_034_1	निचले	0603_047
q_0609_002_1	समाप्त	3123_072
q_0610_033_1	उतनी	1139_011
q_0617_064_1	ऊन	0622_027
q_0617_064_2	गुब्बारे	0618_079	0622_027	0624_070	0626_046	0627_005
q_0619_026_1	गुब्बारा	0628_092
q_0619_026_2	चिपक	0628_092
