0001_030	यह है मोटा राजा
0207_073	मेरे दादाजी चाहते हैँ की मै एक पेड़ लगाऊ
0211_061	बसंत रितु मे कोई भी नयी चीज़ की शुरुवात करना अच्छा है दादाजी बोले
0212_043	हम दोनो बगीचे मे गये
0213_089	दादाजी और मैने जमीन मे एक गड्ढा खोदा और एक पेड़ लगाया
0214_046	यह कितना लम्बा होगा मैने दादाजी को पूछा
0215_069	सब्र करो और देखती रहो प्यारी मीनू दादाजी बोले
0216_019	गिल्हरियान एक दूसरे के पीछे भाग रहीं है
0217_076	टीनगु बिल्ली एक गिल्हरि के पीछे भाग रही है
0218_002	और मैं टीनगु के पीछे भागना चाहती हूँ
0219_018	यह बग़ीचा फूलों से भरा है
0220_098	मुझे पीले गुलाब सबसे अच्छे लगते है और दादाजी को सफ़ेद चमेली पसंद है
0221_001	कुछ पेड़ो के नीचे पतियो की दरी सी बिछी है
0222_097	बहुत सारे पेड़ों पर फूल है
0223_005	मुझे बसंत पसंद है
0224_076	बसंत मे सब कुछ इतना प्यारा दिखता है
0227_003	हमने टहनियो और लकड़ियों से एक बड़ी होलीका बनाई है
0228_047	हम मे से कुछ लोग जंगल गये और टेसु के फूल लेकर आये
0229_027	मनु ने फूलों को एक पानी के टांक मे डाला
0230_072	पानी एकदम चमकीला नारंगी हो गया
0232_001	हमें गुझिया और पूरी खाने को मिलेंगी
0233_042	बसंत कितनी खुशी की रितु है
0234_069	ना ज्यादा ठंडा ना ज्यादा गरमी और ना ज्यादा गीला
0235_078	मै हर समय खेल सकती हूँ
0236_006	अम्मा की छुट्टी का दिन था
0237_001	वह एक पुस्तक पढ़ रहीं थी
0238_035	अनिल की भी छुट्टी थी वह कुछ करना चाहता था
0239_025	वह अम्मा से बोला उस नीले बक्से में क्या है ज़रा मुझे दिखाओ
0240_077	अम्मा बोलीं बाद में देख लेना
0241_006	अनिल ने कुर्सी के ऊपर एक स्टूल रखा और
0242_051	चढ़ गया नीला बक्सा उतारने के लिए
0243_016	अम्मा ने उसे डाँटते हुए कहा
0244_088	नहीं ऐसा मत करना सारे ऊपर रखे हुए बक्से हमारे सर पर गिर जायेंगे
0245_051	अनिल को बहुत गु़स्सा आया
0246_024	वह अपनी माँ से भी बहुत गु़स्सा हो गया
0247_009	अम्मा ने उसे मनाते हुए कहा
0248_018	चलो बाज़ार से तुम्हारे लिए कुछ लेकर आते हैं
0249_027	अनिल बाज़ार जाने के बाद भी बहुत गु़स्से में था
0250_002	उसने एक संतरे की ओर इशारा करते हुए कहा
0251_047	मुझे वो वाला चाहिए
0252_061	नहीं सारे संतरे नीचे गिर जायेंगे दुकानदार बोला
0253_030	मुझे वो वाली किताब चाहिए अनिल बोला
0254_064	दुकानदार बोला नहीं वो वाली नहीं ये वाली ले लो
0257_051	नहीं तो मेरे सारे समोसे नीचे गिर जायेंगे
0258_064	मझे वो वाला चाहिए अनिल ज़ोर से चीख़ा
0259_026	अब अनिल बहुत गु़स्से में था और उसका मन बड़ा ख़राब था
0260_008	नहीं बेटा मैं तुम्हें उन सुन्दर फूलों को हाथ नहीं लगाने दे सकती
0261_027	फूल मुरझा जायेंगे फूल वाली ने कहा
0262_018	अब तो अनिल ज़िद्दी बच्चों की तरह ज़ोरज़ोर से रोने लगा
0263_047	अम्मा ज़ोर से बोलीं मुझे वो वाला चाहिए वो काला वाला
0264_047	अनिल ने अचानक से रोना बंद कर दिया
0265_046	नहीं अम्मा वो वाला नहीं अनिल बोला
0266_047	ये भूरा वाला ले लेते हैं अनिल ने कहा
0267_089	अनिल ने बड़े प्यार से वहाँ पिल्लों के ढेर से भूरा वाला पिल्ला उठाया
0268_016	मैं तुम से बहुत गु़स्सा हूँ अम्मा सारे पिल्ले ही नीचे गिरा देतीं
0269_076	अम्मा मुस्कराने लगीं अनिल भी मुस्कराने लगा
0270_079	अब वह ज़रा भी नाराज़ नहीं था
0271_013	हमने अभीअभी स्कूल की सर्दियों वाली वर्दी बाहर निकाली है
0272_034	वैसे अभी ज़्यादा सर्दी नहीं है
0273_024	सर्दी के मौसम को संस्कृत में शिशिर ॠतु कहते हैं
0275_078	कल हम मामा के साथ मूँगफली मेले में गए थे जो
0276_001	बेंगलूरू के नन्दी मंदिर के पास लगता है
0277_072	सड़क की दोनों ओर मूँगफली के ढेर लगे हुए थे
0278_047	सूखी मूँगफली उबली और नमकीन मूँगफली भुनी हुई मूँगफली
0279_064	मामा बता रहे थे कि गुजरात में सर्दियों में ठीक हमारे मूँगफली मेले की
0280_019	तरह का पोंख मेला लगता है
0281_087	सभी ताज़े पोंख की नरम और हरीहरी फलियों को बड़े चाव से खाते हैं
0283_016	किसान सब लोगों के खाने के लिए ढेरों के ढेर पोंख के दानों को
0284_005	कोयले की आग में भूनते हैं
0285_051	मैं मेले में एक चटख नीले रंग का स्वेटर पहन कर गयी थी
0287_046	मनु बड़े वाले गोल झूले पर बैठना चाह रहा था
0288_072	मैं दादी के लिए एक गरम और नरम शाल खरीदना चाहती थी
0289_077	अब तो काफ़ी ठण्ड हो गयी है
0290_061	मैं स्कूल जाते हुए रास्ते में अपने हाथों को आपस में रगड़ती रहती हूँ
0291_060	मेरी नयी लाल चूड़ियाँ धीरे से खनकती हैं
0292_024	वाह क्या बात है मैं ज़ोर से कह उठती हूँ
0293_077	और जैसे ही बात करने के लिए मुँह खोलती हूँ
0295_033	मेरी सहेली रजनी शिमला में रहती है
0296_027	उसके दादा के गाँव में लोग बाँस की टोकरियों में
0298_086	और उस शंकु जैसे बर्फ़ के ढेर को घर की छत पर रख देते हैं
0299_018	फिर सभी बच्चे बड़ों से आशीर्वाद लेते हैं
0303_046	नौशीन मुबारक कहते हैं और
0305_036	जिस मित्र को यह बर्फ़ वाला कागज़ मिलता है वह आपको खाने पर घर बुलाता है
0306_027	कितना मज़ा आयेगा बर्फ़ में खेलने में और
0307_019	फिर रोग़नजोश और नान की दावत खाने में
0308_003	रजनी कह रही थी कि बर्फ़ से ढके हुए पेड़पौधे बड़े ही सुन्दर दिखते हैं
0309_006	सभी को गरम चाय पीने में मज़ा आता है और
0310_013	रजनी को गुड़ डला गरम दूध पीना अच्छा लगता है
0311_018	ऐसी ठण्ड में बिना जेकेट टोपी दस्तानों और
0312_092	गुलूबंद के घर से बाहर नहीं निकल सकते
0314_005	अगली सर्दी की छुट्टियों में मैं या तो शिमला जाना चाहती हूँ
0316_076	जैसलमेर में तो बर्फ़ नहीं पड़ती वहाँ केवल रेत ही रेत है
0317_038	मेरा जैसलमेर का मरूभूमि मेला देखने का बड़ा मन है
0318_064	मैं ऊँट की सवारी करूँगी लोकनृत्य और
0320_072	थोड़े ही दिनों में संक्रांति आने वाली है
0321_060	जानू कह रही थी कि उसके घर में तिलगुड़ बनायी जाती है
0322_034	रोहन के घर में येल्लू बनता है और
0323_026	नरसी कहता है कि संक्रांति में उसे चिगडी खाना अच्छा लगता है
0324_087	क्या आप जानते हैं कि ये सारी चीज़ें गुड़ और तिल से बनती हैं
0326_001	मुझे सर्दियाँ अच्छी लगती हैं
0327_098	जब मेरे मित्र मुझे गले लगाते हैं तब मुझे अच्छा लगता है
0329_077	मेरा पेड़ कभी भी बर्फ़ से नहीं ढकेगा
0330_089	पर मैं चाहती हूँ कि जल्दी ही इस पर बहुत से आम लगें
0332_072	अब बारिशें रुक चुकी हैं और अभी सर्दी का मौसम नहीं आया है
0333_076	इस मौसम को पतझड़ कहते हैं
0335_037	आछि मुझे ज़ुकाम है
0336_097	लगता है मौसम बदलने से बहुत लोग बीमार पड़ रहे हैं
0338_080	इस मौसम में कई त्यौहार मनाये जाते हैं
0339_097	मनु ने आम के पत्तों को धागे में पिरो कर
0340_087	हमारी चौखट पर टाँगने के लिए एक तोरण बनाया है
0342_030	देखो तो आकाश कितना नीला दिखता है
0343_047	और वो सफ़ेद चमकदार बादल रूई के बड़ेबड़े गोलों जैसे दिखते हैं
0344_002	सब कुछ कितना शान्त है
0345_001	आज रात को हम शरत पूर्णिमा का पर्व मनाएँगे
0346_034	इसे खोजागिरी भी कहते हैं
0347_003	भरेपूरे चाँद की चाँदनी से सब चीज़ें चाँदी सी चमक उठेंगी
0348_016	हम सब सारी रात जागेंगे
0349_046	नारियल चावल और दूध जैसी स़फेद चीज़ों से
0351_064	मीरा आज ओणम मना रही है
0352_019	ओणम खुशी का त्यौहार है जो केरल वासी मनाते हैं
0353_098	उसके परिवार ने फूलों से पूकलम नाम की एक सुन्दर सी रंगोली बना रखी है
0354_025	वह कहती है कि यह साल का वह समय है जब फसलें पक जाती हैं और
0355_034	सभी के घर खाने को अनाज होता है
0356_006	यही समय है जब केरल की विख्यात नौका दौड़ आयोजित होती है
0358_076	मेरा भी त्यौहार मनाने का मन कर रहा है
0359_034	दशहरे की छुट्टियाँ शुरू हो गई हैं
0360_003	घर पर हम सब मिल कर दशहरा का गोलू सजाने की तैयारी कर रहे हैं
0361_003	तमिलनाडु में तीन से नौ सीढ़ियों पर यह गुड़ियों की झाँकी सजाई जाती है
0362_034	दशहरा के दिन यानि नौरात्रों के दसवें दिन मनु और
0364_034	मैं मृदंगम बजाना चाहती हूँ
0365_016	मृदंगम धम धम धम
0366_035	मनु बाँसुरी बजाना सीखना चाहता है
0367_009	और जानते हो अम्मा स्कूटर चलाना सीखना चाहती हैं
0368_042	जल्दी ही दीपावली आने वाली है
0369_035	अँधेरी रात में जब सभी घर दियों और
0370_003	मोमबत्तियों से जगमगाते हैं तो बड़े ही सुन्दर लगते हैं
0372_009	मुझे पटाखे चलाना भी अच्छा लगता है
0374_030	वे कहते हैं कि यदि हम पानी
0376_076	पता नहीं कि ऐसा कैसे होगा
0377_013	अब थोड़ी सर्दी होने लगी है
0378_027	शरत ॠतु के बाद वर्षा और
0379_046	शीत के बीच के इस मौसम को संस्कृत में हेमंत ॠतु कहते हैं
0380_006	भारत में हेमंत ॠतु थोड़े ही दिनों की होती है
0381_064	सर्दियों का मौसम आने ही वाला है
0382_018	आकाश में बड़ेबड़े काले बादल घिर आए हैं और
0383_012	मुझे उनकी गड़गड़ाहट भी सुनाई दे रही है
0384_038	शीघ्र ही मानसून आने वाला है
0385_097	इसे वर्षा ॠतु कहते हैं
0386_033	मुझे बारिश से भीगी मिट्टी की सौंधी महक बहुत अच्छी लगती है
0387_092	लम्बी गर्मियों के बाद मिट्टी भी बारिश की बूँदों की राह देखती है
0388_027	मुझे ऐसा ही लगता है
0389_016	बारिश से ज़मीन पर तरहतरह के नमूने बन जाते हैं
0393_069	बारिश होते ही चाची को ज़ोरज़ोर से गाना अच्छा लगता है
0394_089	बनारस वाली शुभा मौसी ने मुझे कुछ सुंदर गीत सिखाए हैं
0395_077	इन गीतों को कजरी कहते हैं
0396_078	क्या आपको मालूम है कि
0397_057	सम्राट अकबर के दरबार में एक प्रसिद्ध गायक थे मियाँ तानसेन
0398_034	कहा जाता है कि वो मियाँ की मल्हार नाम
0399_080	का एक राग गाते थे तो वर्षा आ जाती थी
0401_019	स्कूल से घर लौटते हुए रास्ते में
0402_077	मैं वर्षा से भीग गई पर बड़ा मज़ा आया
0403_089	हमारे घर के पास वाले खेत में मोर नाच रहे थे
0404_048	लेकिन वो तो भीग नहीं रहे थे
0405_077	मनु ने बड़े वाले पेड़ से एक झूला बाँधा है और
0406_035	मैं अभी झूलना चाहती हूँ
0407_087	झूलते हुए बारिश की ठंडी फुहार मेरे मुँह पर पड़ेगी
0409_005	क्या मैं थोड़ा लालच कर के एकदो भुट्टे भी खा लूँ
0410_058	माँ हमें पीने को गर्म दूध देती हैं
0411_087	कल उन्होंने मसालेदार मुरमुरे बनाए थे
0412_024	और माँ ने कहा है कि कल वे पूड़ियाँ बनाने वाली हैं
0413_086	सभी पेड़पौधे हरेभरे हो जाएँगे और खुश दिखाई देंगे
0414_080	ठीक उस हरे दुपट्टे की तरह जिसे हरी भैया ने जयपुर से भेजा है
0415_092	वो बता रहे थे कि उसे धानी चुनरिया कहते हैं
0416_016	धानी जैसे धान के नन्हे पौधों का रंग
0418_048	हम सभी वर्षा की प्रतीक्षा करते हैं
0419_009	पर किसान तो वर्षा के देवताओं की पूजा करते हैं
0420_057	मानसून में मेरा आम का पौधा काफी लम्बा हो गया है
0423_070	या मेरा आम का पेड़ इस पेड़ के जितना बड़ा हो जायेगा
0424_035	एक जंगल में दो खरगोश भाई रहते थे
0425_076	एक का नाम था टुल्लु और एक का नाम था बुल्लु
0426_025	उन्होंने एक मज़बूत घर बनाया था और उसमें खुशीखुशी रहते थे
0427_006	एक दिन जब बाहर बहुत ठंड थी दोनों भाई आग जलाकर
0428_047	अपने घर में आराम से बैठे थे
0429_079	अचानक किसी ने उनका दरवाज़ा खटखटाया
0430_043	टुल्लु ने खिड़की से झाँका
0431_051	बाहर एक बड़ा काला भेड़िया खड़ा था
0432_078	मैं ठंड में मरा जा रहा हूँ भेड़िये ने कहा
0433_009	मुझ पर दया करो
0436_013	टुल्लु और बुल्लु को दया आ गई
0438_002	दस मिनट के बाद भेड़िया बोला मज़ा आ गया प्
0439_034	यारे खरगोश दरवाज़ा थोड़ा सा और
0440_036	खोल देते तो मैं अपनी पिछली टाँगें भी गरम कर लेता
0441_002	घबराने की कोई ज़रूरत नहीं
0442_078	टुल्लु और बुल्लु ने एक दूसरे की ओर देखा
0443_038	फ़िर टुल्लु ने दरवाज़े को थोड़ा सा और
0444_028	खोला और बुल्लु ने आग पर एक पानी का पतीला रख दिया
0445_043	दस मिनट बाद भेड़िया बोला
0446_033	तुम लोग कितने अच्छे हो कितने दयालु हो
0447_036	अगर तुम दरवाज़ा थोड़ासा और खोल दोगे तो मैं
0448_024	अपनी अगली टाँगें भी सेक लूँगा
0450_035	मैं खरगोशों को हाथ नहीं लगाता
0453_046	अब स़िर्फ भेड़िए का मुँह घर से बाहर था
0454_035	दस मिनट के बाद भेड़िया बोला
0455_080	ओह कितना आराम मिल रहा है बस मेरी नाक को ठंड लग रही है प्
0456_016	यारे दोस्तों दरवाज़ा थोड़ा सा और खोल दो
0458_063	ठीक है टुल्लु ने कहा
0459_014	तुम अपनी नाक भी गरम कर लो
0461_006	भेड़िया पूरी तरह से घर में घुस आया मुड़ा और खरगोशों पर लपका
0464_060	अईयईयई भेड़िया चीखा और बाहर भागा
0465_063	मैं वापस आऊँगा जातेजाते वह चिल्लाया
0466_079	और तुम्हें चीरफाड़ कर कच्चा खा जाऊँगा
0468_077	थोड़ी देर बाद भेड़िया और भेड़ियों को लेकर आया
0470_074	वे रहे खरगोश एक भेड़िए ने बाहर जाकर छत की ओर इशारा किया
0471_057	चलो सीढ़ी बनाओ एक और भेड़िए ने कहा
0472_076	अभी पकड़ते हैं उनको
0474_080	जला हुआ भेड़िया सबसे नीचे था जैसे ही सीढ़ी छत तक पहुँचने लगी
0475_088	टुल्लु चिल्लाया जान बचालो और गरम पानी आ रहा है
0476_047	डर के मारे जले हुए भेड़िए की जान निकल गई
0477_047	नहीं नहीं मत फेंको वह चीखा और वहाँ से भागा
0479_024	लँगड़ाते बड़बड़ाते वे चले गए और लौट कर कभी नहीं आए
0480_038	टुल्लु और बुल्लु नीचे आए
0482_016	दीदी दीदी कभीकभी मैं सोचता हूँ
0483_037	क्या सोचते हो मुन्ने राजा तुम क्या सोचते हो
0484_080	कभीकभी मैं सोचता हूँ कि बादल क्यों गरजते हैं
0485_019	तो तुम इस सोच में डूबे रहते हो
0487_013	क्या लगता है तुम्हें बादल क्यों गरजते हैं
0488_018	मुझे लगता है मुझे लगता है
0489_019	बताओ भी न मुन्ने राजा क्या लगता है तुम्हें
0490_030	मुझे लगता है कि आकाश में एक बड़ा दानव शायद कुंभकर्ण सोया हुआ है
0491_093	बारिश की मूसलाधार बूँदें जब उस पर ज़ोरज़ोर से पड़ती हैं
0492_018	और उसे गहरी नींद से झकझोर कर उठा देती हैं
0493_035	तब वह गुस्से में आँखों से अंगारे उगलता हुआ उठता है
0494_006	पैरों को ज़ोरज़ोर से पटकते हुए शेर जैसी दहाड़ मारता है
0495_016	दीदी क्या उसकी अम्मी उसकी पिटाई नहीं करतीं
0497_077	मेरे हिसाब से तो बादल तभी गरजते हैं
0498_063	जब कुंभकर्ण दहाड़ता है
0499_092	वही कुंभकर्ण जो स़िर्फ सोना चाहता है
0500_032	और बारिश उसकी नींद में बाधा डालती है
0501_035	कहो दीदी ठीक कहा न मैंने
0502_077	शायद तुमने ठीक ही कहा
0503_024	पर मैंने तो अपनी किताबों में कुछ और ही पढ़ा है
0504_013	बताओ न दीदी क्या पढ़ा है आपने
0505_046	अपनी मोटी मोटी किताबों में
0506_051	पहले तुम बताओ मुन्ना
0507_080	तुम क्या सोचते हो
0508_014	मैं सोचता हूँ मैं सोचता हूँ
0509_027	बोलो न मुन्ना क्या सोचा तुमने
0510_038	दीदी ऐसा भी तो हो सकता है कि
0511_064	आकाश में मोटर साइकिल चालकों का एक गुट है
0512_030	वह काले जैकट स्टील से सजे जूते
0513_016	और सिनेमा के हीरो की तरह काले चश्मे पहने
0514_051	बारिश में मोटर साइकिल की दौड़ लगाते हैं
0515_027	जब वह अपनी मोटर साइकिल पर चढ़ कर
0516_035	अपनी मोटर को झटके से शुरू करते हैं
0518_001	और फिर बिजली गिरती है
0519_076	और जब यही चालक अपनी मोटर साइकिल
0520_014	घर्रघर्र करके चलाते हैं
0521_060	तभी बादलों से गड़गड़ाहट की आवाज़ आती है
0522_044	मुझे लगता है दीदी
0523_003	बादलों के गरजने का कारण न तो कुंभकर्ण न तो हवाई जहाज़ है
0525_046	कहो न दीदी हूँ न मैं समझदार
0526_080	अरे हाँ समझदार तो तुम हो ही
0527_048	और शायद ठीक भी
0528_070	पर किताबों से तो मैंने कुछ और ही सीखा है
0529_038	क्या सीखा है दीदी बताओ तो
0530_016	मुन्ना पहले तुम बताओ तुम क्या सोचते हो
0531_097	मुझे लगता है कि
0532_043	आसमान में रहने वाली
0533_060	बूढ़ी दादी के पोतापोती
0534_080	जब बारिश के समय
0535_012	घर में रहकर बेचैन हो जाते हैं
0536_042	और ज़िद पर उतर आते हैं
0537_045	तब भी बूढ़ी दादी
0538_032	उन्हें बाहर जाने की इजाज़त नहीं देती है
0540_016	तब वह चौपड़ और बड़ासा पासा निकालती है
0542_026	भूल जाते हैं कि वह कभी ऊबे भी थे
0543_078	मुझे लगता है कि जब वह बड़ासा पासा
0544_058	आसमान में ज़ोरों से लुढ़कता है
0545_047	तब जो आवाज़ होती है
0546_002	उसी को बादलों की गड़गड़ाहट कहते हैं
0547_044	कैसा लगा दीदी ठीक कहा न मैंने
0548_037	मुन्ने राजा क्या कहने तुम्हारी बातों के
0549_064	पर मेरी किताबों में तो कुछ और ही लिखा है
0550_013	दीदी बता दो क्या कहती हैं
0552_034	बताती हूँ बताती हूँ
0553_019	इधर आओ और ध्यान से सुनो
0554_047	मैंने पढ़ा है कि
0557_076	बिजली के चमकने के बाद ही होता है
0558_033	पर यह तो तुम्हें भी मालूम है है न
